"";"weights";"n_sim";"mu";"N";"lift";"sd";"power_ttest";"power_mwtest"
"249";"5050";1000;2;50;20;1;0,266;0,263
"250";"7525";1000;2;50;20;1;0,195;0,208
"251";"9010";1000;2;50;20;1;0,123;0,113
"252";"9901";1000;2;50;20;1;0,138;0,132
"253";"5050";1000;2;50;50;1;0,914;0,923
"254";"7525";1000;2;50;50;1;0,812;0,81
"255";"9010";1000;2;50;50;1;0,398;0,495
"256";"9901";1000;2;50;50;1;0,402;0,494
"257";"5050";1000;2;50;100;1;1;1
"258";"7525";1000;2;50;100;1;1;1
"259";"9010";1000;2;50;100;1;0,925;0,969
"260";"9901";1000;2;50;100;1;0,901;0,97
"261";"5050";1000;2;50;1;2;0,056;0,049
"262";"7525";1000;2;50;1;2;0,054;0,047
"263";"9010";1000;2;50;1;2;0,047;0,048
"264";"9901";1000;2;50;1;2;0,067;0,009
"265";"5050";1000;2;50;2;2;0,051;0,051
"266";"7525";1000;2;50;2;2;0,052;0,056
"267";"9010";1000;2;50;2;2;0,055;0,044
"268";"9901";1000;2;50;2;2;0,049;0,006
"269";"5050";1000;2;50;3;2;0,049;0,046
"270";"7525";1000;2;50;3;2;0,056;0,055
"271";"9010";1000;2;50;3;2;0,055;0,046
"272";"9901";1000;2;50;3;2;0,056;0,003
"273";"5050";1000;2;50;4;2;0,054;0,06
"274";"7525";1000;2;50;4;2;0,062;0,05
"275";"9010";1000;2;50;4;2;0,055;0,042
"276";"9901";1000;2;50;4;2;0,076;0,003
"277";"5050";1000;2;50;5;2;0,046;0,049
"278";"7525";1000;2;50;5;2;0,053;0,052
"279";"9010";1000;2;50;5;2;0,058;0,039
"280";"9901";1000;2;50;5;2;0,054;0,006
"281";"5050";1000;2;50;6,00000000000001;2;0,048;0,05
"282";"7525";1000;2;50;6,00000000000001;2;0,053;0,052
"283";"9010";1000;2;50;6,00000000000001;2;0,052;0,046
"284";"9901";1000;2;50;6,00000000000001;2;0,056;0,003
"285";"5050";1000;2;50;7,00000000000001;2;0,053;0,057
"286";"7525";1000;2;50;7,00000000000001;2;0,054;0,043
"287";"9010";1000;2;50;7,00000000000001;2;0,07;0,05
"288";"9901";1000;2;50;7,00000000000001;2;0,067;0,007
"289";"5050";1000;2;50;8,00000000000001;2;0,052;0,06
"290";"7525";1000;2;50;8,00000000000001;2;0,079;0,052
"291";"9010";1000;2;50;8,00000000000001;2;0,07;0,046
"292";"9901";1000;2;50;8,00000000000001;2;0,068;0,007
"293";"5050";1000;2;50;9,00000000000001;2;0,069;0,055
"294";"7525";1000;2;50;9,00000000000001;2;0,049;0,043
"295";"9010";1000;2;50;9,00000000000001;2;0,078;0,05
"296";"9901";1000;2;50;9,00000000000001;2;0,066;0,007
"297";"5050";1000;2;50;10;2;0,069;0,06
"298";"7525";1000;2;50;10;2;0,06;0,065
"299";"9010";1000;2;50;10;2;0,051;0,049
"300";"9901";1000;2;50;10;2;0,066;0,004
"301";"5050";1000;2;50;20;2;0,103;0,101
"302";"7525";1000;2;50;20;2;0,09;0,09
"303";"9010";1000;2;50;20;2;0,078;0,05
"304";"9901";1000;2;50;20;2;0,122;0,021
"305";"5050";1000;2;50;50;2;0,396;0,391
"306";"7525";1000;2;50;50;2;0,3;0,318
"307";"9010";1000;2;50;50;2;0,14;0,173
"308";"9901";1000;2;50;50;2;0,38;0,154
"309";"5050";1000;2;50;100;2;0,949;0,92
"310";"7525";1000;2;50;100;2;0,77;0,825
"311";"9010";1000;2;50;100;2;0,417;0,469
"312";"9901";1000;2;50;100;2;0,899;0,733
"313";"5050";1000;2;50;1;5;0,054;0,056
"314";"7525";1000;2;50;1;5;0,057;0,051
"315";"9010";1000;2;50;1;5;0,051;0,033
"316";"9901";1000;2;50;1;5;0,056;0,001
"317";"5050";1000;2;50;2;5;0,041;0,05
"318";"7525";1000;2;50;2;5;0,047;0,055
"319";"9010";1000;2;50;2;5;0,06;0,047
"320";"9901";1000;2;50;2;5;0,05;0
"321";"5050";1000;2;50;3;5;0,056;0,042
"322";"7525";1000;2;50;3;5;0,054;0,047
"323";"9010";1000;2;50;3;5;0,058;0,068
"324";"9901";1000;2;50;3;5;0,042;0
"325";"5050";1000;2;50;4;5;0,049;0,052
"326";"7525";1000;2;50;4;5;0,044;0,055
"327";"9010";1000;2;50;4;5;0,059;0,041
"328";"9901";1000;2;50;4;5;0,055;0
"329";"5050";1000;2;50;5;5;0,046;0,054
"330";"7525";1000;2;50;5;5;0,054;0,06
"331";"9010";1000;2;50;5;5;0,056;0,038
"332";"9901";1000;2;50;5;5;0,051;0
"333";"5050";1000;2;50;6,00000000000001;5;0,048;0,042
"334";"7525";1000;2;50;6,00000000000001;5;0,054;0,05
"335";"9010";1000;2;50;6,00000000000001;5;0,054;0,064
"336";"9901";1000;2;50;6,00000000000001;5;0,066;0,001
"337";"5050";1000;2;50;7,00000000000001;5;0,052;0,057
"338";"7525";1000;2;50;7,00000000000001;5;0,058;0,045
"339";"9010";1000;2;50;7,00000000000001;5;0,062;0,041
"340";"9901";1000;2;50;7,00000000000001;5;0,048;0
"341";"5050";1000;2;50;8,00000000000001;5;0,055;0,048
"342";"7525";1000;2;50;8,00000000000001;5;0,049;0,046
"343";"9010";1000;2;50;8,00000000000001;5;0,057;0,048
"344";"9901";1000;2;50;8,00000000000001;5;0,057;0
